transaction_id,timestamp,account_id,merchant,location,amount,currency,device_type,transaction_type,is_anomaly
9a5d8c2f-b1c3-42b4-b49c-334d832b4f00,2025-05-19T19:55:40,53531490,Harris-Perry,New Emma,423.53,ZAR,POS,Purchase,0
0179c562-d2d8-46b6-b633-ea16953e513c,2025-05-18T23:34:22,58081968,"Ramirez, Wright and Cross",South Hollymouth,40.53,ZAR,POS,Withdrawal,0
7246e35c-5d77-4c3a-96a6-b2952ed15da2,2025-06-07T16:52:24,52093471,Smith-Garrison,Port Thomas,22.3,ZAR,Mobile,Transfer,0
69fa95db-8162-475a-812c-81b1245c8917,2025-04-12T22:55:39,76705991,Johnson Group,East Amyfurt,13.31,ZAR,Web,Withdrawal,0
2473cd22-7e57-4d62-ae94-0638ba4bd089,2025-01-12T17:05:38,84715633,"Boone, White and Mclaughlin",Leefort,53.47,ZAR,POS,Withdrawal,0
5877ec57-4f2d-41a8-a0b5-6447f793beac,2025-02-03T17:14:40,19094338,Owen-Williams,South Brandonland,48.79,ZAR,Mobile,Withdrawal,0
f5a0f505-4cdd-4dc1-b1b1-e722df789209,2025-01-28T04:28:55,36791641,Haynes and Sons,Hopkinsborough,133.91,ZAR,Web,Purchase,0
32f37b40-749c-421c-9fb7-5d9e8b4d9cc8,2025-03-30T03:35:22,53047666,Atkins Group,South Bruce,465.7,ZAR,POS,Purchase,0
39ec9458-fea7-46e8-bfd7-5c188464792f,2025-04-25T21:46:14,17206285,"Howell, Nichols and Hampton",Murphystad,18.57,ZAR,Web,Purchase,0
e7b15162-2a08-4934-85cd-057e5dfc7d12,2025-04-12T01:00:31,78759123,"Dixon, Dawson and Wilson",Christineville,27.04,ZAR,Mobile,Transfer,0
e903f79a-e1a6-4652-9c44-6693b4c5aeda,2025-01-08T05:14:52,78697926,"Ramirez, Nunez and Anderson",Port Tylerhaven,1.18,ZAR,Mobile,Purchase,0
4de9e1cb-8bc9-4c85-bbe7-bf4809eb555a,2025-02-12T13:06:47,87636226,"Harris, Wilkerson and Evans",North Jordan,265.26,ZAR,Web,Withdrawal,0
9ea7c00b-4568-4b31-8270-fd9cceca7ae5,2025-04-23T18:29:03,39993017,Brown-Blake,New Christineton,11.3,ZAR,POS,Purchase,0
a2d24bcc-177e-4774-bad2-841d3991ce9a,2025-04-25T11:03:03,25634648,Perez Inc,East Pamelaton,316.62,ZAR,Mobile,Purchase,0
